test_id,famous,gender,age,proof,exposure_duration,image_name,response_time,correctly_recognized,actually_is_famous
09,Y,2,35,not sure,0.09375,NotFamousM5.png,0.3580000400543213,U,N
09,N,8,33,blank,0.09375,NotSoFamouse.jpg,0.8889999389648438,U,N
09,Y,8,38,not sure,0.09375,Britney Spears.jpg,0.35899996757507324,U,Y
09,Y,1,63,einstein,0.14583333333333331,Albert Einstein.jpg,0.35899996757507324,Y,Y
09,Y,1,47,not sure,0.14583333333333331,NotFamousM4.png,0.4219999313354492,U,N
09,N,9,28,blank,0.14583333333333331,Angelina Jolie.jpg,0.7019999027252197,U,Y
09,N,8,27,blank,0.14583333333333331,NotFamousW2.png,0.45200014114379883,U,N
09,N,1,67,blank,0.19791666666666666,Donald Trump.jpg,0.4519999027252197,U,Y
09,N,8,42,blank,0.19791666666666666,StylistlookAlike.jpg,0.8259999752044678,U,N
09,Y,2,19,justin bieber,0.19791666666666666,Justin Bieber.jpg,1.1700000762939453,Y,Y
09,N,2,23,blank,0.19791666666666666,NotFamousM3.png,0.9049999713897705,U,N
09,N,8,24,blank,0.11979166666666666,NotFamousW3.png,1.0139999389648438,U,N
09,N,3,24,blank,0.11979166666666666,NotFamousW4.png,0.8269999027252197,U,N
09,N,3,28,blank,0.11979166666666666,Lady Gaga.jpg,0.9200000762939453,U,Y
09,Y,8,35,beyonce,0.11979166666666666,Beyonce Knowles.jpg,0.5,Y,Y
09,N,2,35,blank,0.06770833333333331,NotFamousM2.png,0.812000036239624,U,N
09,N,2,35,blank,0.06770833333333331,Jim Carrey.jpg,0.6549999713897705,U,Y
09,N,5,35,blank,0.06770833333333331,DavidBlookAlike.jpg,1.372999906539917,U,N
09,N,5,35,blank,0.06770833333333331,Miley Cyrus.jpg,1.8250000476837158,U,Y
09,N,8,40,blank,0.22395833333333334,KlookAlike.jpg,0.7180001735687256,U,N
09,N,9,23,blank,0.22395833333333334,Christina Aguilera.jpg,1.1929998397827148,U,Y
09,Y,9,52,oprah,0.22395833333333334,Oprah Winfrey.jpg,0.873999834060669,Y,Y
09,N,2,28,blank,0.22395833333333334,NotFamousLookAlike.jpg,0.9679999351501465,U,N
10,Y,5,40,not sure,0.22395833333333334,NotFamousW4.png,0.8110001087188721,U,N
10,U,7,30,not sure,0.22395833333333334,Justin Bieber.jpg,0,U,Y
10,U,3,30,not sure,0.22395833333333334,maleNotFamouse.jpg,0,U,N
10,U,7,35,notsure,0.22395833333333334,Oprah Winfrey.jpg,0,U,Y
10,U,5,50,not sure,0.11979166666666666,StylistlookAlike.jpg,0,U,N
10,U,9,50,not sure,0.11979166666666666,Lady Gaga.jpg,0,U,Y
10,U,7,30,not sure,0.11979166666666666,Christina Aguilera.jpg,0,U,Y
10,U,7,25,not sure,0.11979166666666666,NotFamousW2.png,0,U,N
10,U,1,80,not sure,0.171875,Albert Einstein.jpg,0,U,Y
10,U,5,40,not sure,0.171875,Angelina Jolie.jpg,0,U,Y
10,U,1,40,not sure,0.171875,DavidBlookAlike.jpg,0,U,N
10,U,1,30,not sure,0.171875,NotFamousM3.png,0,U,N
10,U,9,25,not sure,0.25,NotFamousW3.png,0,U,N
10,U,1,55,not sure,0.25,NotFamousLookAlike.jpg,0,U,N
10,U,3,35,not sure,0.25,Jim Carrey.jpg,0,U,Y
10,U,5,30,not sure,0.25,Elvis Presley.jpg,0,U,Y
10,U,5,30,not sure,0.14583333333333331,NotFamousM1.png,0,U,N
10,U,5,80,not sure,0.14583333333333331,Michael Jackson.jpg,0,U,Y
10,U,5,40,not sure,0.14583333333333331,NotFamousW5.png,0,U,N
10,U,9,35,not sure,0.14583333333333331,Beyonce Knowles.jpg,0,U,Y
10,U,7,29,not sure,0.06770833333333331,KlookAlike.jpg,0,U,N
10,U,5,40,not sure,0.06770833333333331,Miley Cyrus.jpg,0,U,Y
10,U,7,26,not sure,0.06770833333333331,NotSoFamouse.jpg,0,U,N
10,U,1,50,not sure,0.06770833333333331,Steve Jobs.jpg,0,U,Y
10,U,1,50,not sure,0.19791666666666666,NotFamousM5.png,0,U,N
